location,Excel,Excel,Excel,Excel
lat,31.33321,31.33321,31.33321,31.33321
lon,-87.18750,-87.18750,-87.18750,-87.18750
asl,90.694,90.694,90.694,90.694
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Precipitation Total,Excel Wind Speed [10 m],Excel Wind Direction [10 m]
20200530T0000,21.933508,0.0,2.8318708,221.18593
20200530T0100,21.513508,0.0,2.8318708,221.18593
20200530T0200,21.093508,0.0,2.6372256,225.0
20200530T0300,20.723509,0.0,2.4560866,229.39871
20200530T0400,20.413507,0.0,2.2916594,234.46233
20200530T0500,20.083508,0.0,2.382754,243.43495
20200530T0600,19.853508,0.0,2.1967907,255.96376
20200530T0700,22.413507,0.0,5.328,360.0
20200530T0800,25.163507,0.0,5.619714,5.440323
20200530T0900,27.463509,0.0,5.956885,10.30484
20200530T1000,28.963509,0.0,6.9263997,360.0
20200530T1100,29.773508,0.0,7.2468624,342.89728
20200530T1200,30.543509,0.0,7.276183,336.25052
20200530T1300,31.053509,0.0,7.6331854,330.7512
20200530T1400,30.193508,0.0,7.539638,327.99463
20200530T1500,31.203508,0.0,7.463956,325.1755
20200530T1600,29.913507,0.0,7.780522,321.95297
20200530T1700,30.57351,0.0,7.992,323.13013
20200530T1800,29.943508,0.0,8.05392,325.7843
20200530T1900,28.923508,0.0,6.579594,328.24054
20200530T2000,27.883509,0.0,4.295571,330.25513
20200530T2100,26.933508,0.0,4.295571,330.25513
20200530T2200,26.113508,0.0,4.765508,333.43497
20200530T2300,25.713509,0.0,6.1503215,342.34988
20200531T0000,25.32351,0.0,7.8395867,350.2176
20200531T0100,24.753508,0.0,8.795236,358.2643
20200531T0200,23.793509,0.0,8.5248,360.0
20200531T0300,22.883509,0.0,8.262695,1.8475952
20200531T0400,22.133509,0.0,7.992,360.0
20200531T0500,21.463509,0.0,7.7256002,360.0
20200531T0600,20.803509,0.0,7.197732,2.1210938
20200531T0700,20.753508,0.0,6.9263997,360.0
20200531T0800,23.223509,0.0,8.03186,5.7105865
20200531T0900,25.563509,0.0,7.766828,5.906128
20200531T1000,27.293509,0.0,9.384694,353.4802
20200531T1100,28.373508,0.0,10.615965,342.47443
20200531T1200,29.32351,0.0,10.362241,342.03088
20200531T1300,30.043509,0.0,9.953526,344.4759
20200531T1400,30.713509,0.0,10.084568,347.79956
20200531T1500,31.003508,0.0,9.985559,350.789
20200531T1600,30.953508,0.0,10.154698,355.48602
20200531T1700,30.773508,0.0,10.389601,360.0
20200531T1800,30.163507,0.0,9.8604,1.5481567
20200531T1900,28.893509,0.0,7.743951,3.9451752
20200531T2000,27.533508,0.0,4.5366287,356.63354
20200531T2100,25.82351,0.0,4.861344,350.5377
20200531T2200,24.48351,0.0,5.8608,360.0
20200531T2300,23.373508,0.0,6.179102,7.431381
20200601T0000,22.863508,0.0,7.36826,12.528809
20200601T0100,22.463509,0.0,8.08909,17.241455
20200601T0200,22.203508,0.0,8.262696,20.772247
20200601T0300,21.813509,0.0,8.466325,24.145523
20200601T0400,21.07351,0.0,8.339639,26.565033
20200601T0500,20.523508,0.0,7.90719,32.619232
20200601T0600,20.103508,0.0,7.463956,34.824493
20200601T0700,20.993507,0.0,8.11974,41.009094
20200601T0800,23.343508,0.0,8.29698,47.602554
20200601T0900,25.953508,0.0,8.955162,59.620872
20200601T1000,28.253508,0.0,8.855546,68.83874
20200601T1100,30.07351,0.0,10.03165,79.28687
20200601T1200,31.32351,0.0,10.511835,81.25384
20200601T1300,32.28351,0.0,10.444103,84.143974
20200601T1400,33.03351,0.0,10.389601,89.99999
20200601T1500,33.403507,0.0,10.444103,95.85601
20200601T1600,33.473507,0.0,10.144211,103.6713
20200601T1700,33.153507,0.0,10.290077,111.2505
20200601T1800,32.52351,0.0,10.013947,118.61046
20200601T1900,31.293509,0.0,8.951199,126.528854
20200601T2000,29.453508,0.0,5.334656,87.137596
20200601T2100,28.23351,0.0,6.399148,87.61405
20200601T2200,27.253508,0.0,7.0078893,98.74616
20200601T2300,26.353508,0.0,8.014169,105.42216
20200602T0000,25.763508,0.0,8.855546,111.161255
20200602T0100,25.343508,0.0,9.061517,114.30454
20200602T0200,24.863508,0.0,9.174376,115.82099
20200602T0300,24.383509,0.0,8.819409,115.01689
20200602T0400,23.383509,0.0,8.360888,112.47943
20200602T0500,22.593508,0.0,8.512303,110.1363
20200602T0600,21.943508,0.0,8.424308,108.434944
20200602T0700,23.793509,0.0,9.605188,109.44003
20200602T0800,25.533508,0.0,10.715772,124.87533
20200602T0900,26.863508,0.0,9.9997635,131.7603
20200602T1000,27.923508,0.0,9.0732565,139.76364
20200602T1100,27.713509,0.0,7.544342,137.8624
20200602T1200,27.993507,0.0,7.1581836,135.0
20200602T1300,27.993507,0.0,7.544342,132.13759
20200602T1400,27.753508,0.0,8.11974,138.9909
20200602T1500,26.963509,0.3,7.996438,150.01836
20200602T1600,26.723509,0.4,7.920641,160.34618
20200602T1700,26.73351,0.3,8.411661,169.04593
20200602T1800,26.113508,0.2,8.00974,176.18593
20200602T1900,25.57351,0.0,7.1928,180.0
20200602T2000,24.953508,0.0,3.4115846,141.34018
20200602T2100,24.423508,0.0,3.013972,135.0
20200602T2200,23.873508,0.0,2.8318708,131.18591
20200602T2300,23.783508,0.0,3.207881,131.63353
20200603T0000,23.57351,0.0,3.4115846,141.34018
20200603T0100,23.373508,0.0,3.4632,157.38013
20200603T0200,22.953508,0.0,3.0374272,164.74487
20200603T0300,22.543509,0.0,2.2761226,159.44395
20200603T0400,22.413507,0.0,1.1302395,135.0
20200603T0500,22.173508,0.0,1.5984001,89.99999
20200603T0600,22.063509,0.0,2.1312,89.99999
20200603T0700,23.913507,0.0,0.84243083,108.434944
20200603T0800,24.423508,0.5,1.6204481,80.537674
20200603T0900,26.053509,0.1,1.9210378,123.69006
20200603T1000,27.843508,0.0,3.1968002,180.0
20200603T1100,29.683508,0.0,4.5366287,176.63354
20200603T1200,30.293509,0.0,6.2191706,170.13419
20200603T1300,28.633509,0.0,7.1928,180.0
20200603T1400,28.083508,0.5,7.920641,199.65382
20200603T1500,27.443508,0.4,8.275568,213.17851
20200603T1600,26.90351,0.5,7.920641,222.2737
20200603T1700,26.633509,0.6,6.972355,223.45184
20200603T1800,25.973509,0.6,6.415762,221.63354
20200603T1900,25.543509,0.0,5.328,216.8699
20200603T2000,24.843508,0.0,3.4734309,184.39871
20200603T2100,24.313509,0.0,3.5039446,188.74615
20200603T2200,23.753508,0.0,3.767465,188.1301
20200603T2300,23.363508,0.0,3.554219,192.99461
20200604T0000,22.533508,0.0,3.554219,192.99461
20200604T0100,21.963509,0.0,3.4734309,175.60129
20200604T0200,21.443508,0.0,3.554219,167.00539
20200604T0300,21.013508,0.0,3.4734309,175.60129
20200604T0400,20.623508,0.0,3.1968002,180.0
20200604T0500,20.543509,0.0,2.664,180.0
20200604T0600,20.493507,0.0,1.8837326,171.8699
20200604T0700,21.363508,0.0,0.79920006,180.0
20200604T0800,24.603508,0.0,0.5328,270.0
20200604T0900,26.333508,0.0,2.1312,270.0
20200604T1000,27.40351,0.0,2.1477854,277.125
20200604T1100,26.65351,0.0,2.1312,270.0
20200604T1200,27.383509,0.2,2.382754,206.56505
20200604T1300,27.283508,0.2,4.295571,187.12502
20200604T1400,27.883509,0.0,5.8849683,185.19443
20200604T1500,27.603508,0.2,6.8491225,193.49573
20200604T1600,27.373508,0.2,7.670285,200.32314
20200604T1700,27.433508,0.2,8.172013,199.0256
20200604T1800,26.603508,0.0,8.014169,201.44774
20200604T1900,25.893509,0.0,7.1730394,201.8014
20200604T2000,25.203508,0.0,5.9150395,187.76517
20200604T2100,24.763508,0.0,6.744709,189.09027
20200604T2200,24.283508,0.0,7.108438,192.99461
20200604T2300,24.033508,0.0,6.6600003,196.26021
20200605T0000,23.603508,0.0,6.5795946,201.37062
20200605T0100,23.123508,0.0,6.0865254,203.1986
20200605T0200,22.473509,0.0,4.802594,213.69006
20200605T0300,21.663507,0.0,3.9603205,222.2737
20200605T0400,21.163507,0.0,3.5840454,221.98721
20200605T0500,20.863508,0.0,2.8318708,228.81409
20200605T0600,20.613508,0.0,2.5272923,198.43495
20200605T0700,22.523508,0.0,2.1477854,209.74489
20200605T0800,25.243507,0.0,1.7057923,231.3402
20200605T0900,27.163507,0.1,2.4560866,229.39871
20200605T1000,27.013508,0.3,3.7105224,201.0375
20200605T1100,27.413507,0.4,3.6234317,216.02737
20200605T1200,27.98351,0.0,2.1477854,209.74489
20200605T1300,30.333508,0.0,2.1312,180.0
20200605T1400,29.57351,0.0,3.7105224,158.9625
20200605T1500,29.193508,0.0,5.8182635,164.0546
20200605T1600,30.963509,0.0,7.53493,171.8699
20200605T1700,30.963509,0.0,8.262695,178.15239
20200605T1800,30.383509,0.0,8.262695,181.84761
20200605T1900,29.303509,0.0,7.4782047,184.08562
20200605T2000,27.73351,0.0,4.802594,183.17982
20200605T2100,26.65351,0.0,5.9150395,187.76517
20200605T2200,25.743507,0.0,6.791894,191.30994
20200605T2300,25.083508,0.0,7.0078893,188.74615
20200606T0000,24.533508,0.0,6.443357,187.12502
20200606T0100,23.803509,0.0,4.5366287,183.36646
20200606T0200,22.98351,0.0,3.4631999,180.0
20200606T0300,22.48351,0.0,2.9424841,174.80557
20200606T0400,22.053509,0.0,2.742756,150.94539
20200606T0500,21.723509,0.0,3.207881,131.63353
20200606T0600,21.693508,0.0,3.0374274,127.874985
20200606T0700,23.603508,0.0,3.5840454,138.01279
20200606T0800,25.583508,0.0,5.8668513,92.602554
20200606T0900,26.203508,0.1,8.115368,113.19859
20200606T1000,27.613508,0.0,10.283178,126.57303
20200606T1100,29.32351,0.0,11.904831,130.46222
20200606T1200,28.253508,0.0,12.656102,130.7321
20200606T1300,28.063509,0.0,13.271961,128.4802
20200606T1400,27.07351,0.0,12.947149,126.63411
20200606T1500,26.373508,0.0,11.895886,124.04593
20200606T1600,25.473509,0.0,11.204646,118.39302
20200606T1700,25.363508,0.0,11.229953,112.306206
20200606T1800,26.143509,0.0,11.8240795,104.34933
20200606T1900,25.943508,0.0,11.869009,99.03948
20200606T2000,25.40351,0.0,11.769937,95.19443
20200606T2100,25.043509,0.0,12.54628,93.65222
20200606T2200,24.563509,0.0,13.8937235,94.398705
20200606T2300,24.053509,0.0,14.977747,95.10216